Lead Name,Website,Website Available,Phone,Lead Score,Priority,Rating,Source,Location,Industry,Recommended Services,Service Opportunity Score,Email,Founder Name,Social Media
Official Upgrad Education Center Indore,https://www.upgrad.com/study-abroad/,Yes,+91 731 440 9043,0,Low,0.0,SerpAPI,"1st floor, 144, AB Rd, Opposite Raghunath Prasad Petrol Pump, Vijay Nagar, Scheme 54 PU4, Indore, Madhya Pradesh 452010, India",education,,,,,
Nahata Professional Academy,https://nahataacademyindore.com/,Yes,+91 79701 79701,86,Medium,4.3,SerpAPI,"PVF8+54J, Poddar Plaza, C-10, near Shastri Market, New Siyaganj, Indore, Madhya Pradesh 452003, India",education,,,,,
Dreamline Overseas Education | Study Abroad Consultant in Indore,http://dreamlineoverseas.in/,Yes,+91 96696 61236,98,High,4.9,SerpAPI,"33-B Chandra Nagar, Road, Vijay Nagar, MR-9, Barfani Dham, Indore, Madhya Pradesh 452010, India",education,,,,,
Eminence Education,,No,+91 95841 00054,68,Low,3.4,SerpAPI,"Cake Me Away, Sector A, Mahavir Nagar, Indore, Madhya Pradesh 452018, India",education,,,,,
MP Board Of Secondary Education Regional Office,http://mpbse.nic.in/,Yes,+91 731 253 1988,74,Low,3.7,SerpAPI,"43, B, 44, Netaji Subhash Marg, Chiman Bagh, Indore, Madhya Pradesh 452007, India",education,,,,,
Shri Vaishnav Vidyapeeth Vishwavidyalaya (SVVV),https://www.svvv.edu.in/,Yes,+91 93037 00149,74,Low,3.7,SerpAPI,"RRGX+9H3, First Year Block, Indore - Ujjain Rd, Gram Baroli, Indore, Madhya Pradesh 453111, India",education,,,,,
Institute of Management Studies,https://ims.dauniv.ac.in/,Yes,+91 731 247 8800,86,Medium,4.3,SerpAPI,"MVRC+F4H, Utd, Campus Bhawarkua, Khandwa Road, Khandwa Road, Indore, Madhya Pradesh 452001, India",education,,,,,
Indore International College,http://www.indoreinternationalcollege.in/,Yes,+91 98939 95058,74,Low,3.7,SerpAPI,"Gram Solsinda, Sanwer Rd, near Kashi Vishwanath Mandir, Industrial Area, Indore, Madhya Pradesh 453551, India",education,,,,,
Fast Professional Academy indore,,No,+91 98295 65800,100,High,5.0,SerpAPI,"104, above Nafees, Old Palasia, Indore, Madhya Pradesh 452018, India",education,,,,,
Government Holkar Science College,https://www.collegeholkar.org/,Yes,+91 731 276 4027,84,Medium,4.2,SerpAPI,"AB Rd, near Bhawarkua Square, Janki Nagar, Indore, Madhya Pradesh 452001, India",education,,,,,
Shri Vaishnav Academy (Rajmohalla) Indore,http://sva.ac.in/,Yes,+91 731 234 9115,0,Low,0.0,SerpAPI,"177, Jawahar Marg, North Rajmohalla, Raj Mohalla, Indore, Madhya Pradesh 452002, India",education,,,,,
Jagdale School,http://www.jagdalecollege.com/,Yes,,78,Low,3.9,SerpAPI,"8/1 Chhawni Rd Ushaganj, Murai Mohalla, Indore, Madhya Pradesh 452001, India",education,,,,,
Balaji Tutorials,http://www.balajitutorials.co.in/,Yes,+91 98930 53653,96,High,4.8,SerpAPI,"Veda Business Park, 221, Bhawarkua Main Rd, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",education,,,,,
Maharishi Institute of Management Indore,http://mimidr.org/,Yes,+91 98260 88448,82,Medium,4.1,SerpAPI,"JRW3+64J, CAT Road, Rao, Indore, Madhya Pradesh 453331, India",education,,,,,
"Ryan International School, CAT Road, Indore - CBSE",https://www.ryangroup.org/ryaninternational/cbse/indore/ryan-international-school-cat-road?utm_source=Google&utm_medium=GMB&utm_campaign=Ryan+Group+Indore+Cat+Road,Yes,+91 731 297 1041,0,Low,0.0,SerpAPI,"near, Scheme No. 97/4, 636, CAT Rd, VIP Paraspar Nagar, Slice 4, Scheme 97, Vip Paraspar Nagar, Indore, Madhya Pradesh 452012, India",education,,,,,
Indian Institute of Technology Indore,http://www.iiti.ac.in/,Yes,+91 7324 306 717,90,High,4.5,SerpAPI,"Khandwa Rd, Simrol, Madhya Pradesh 453552, India",education,,,,,
Unnati Academy,https://sites.google.com/view/unnatiacademyindore/home,Yes,+91 99777 50709,96,High,4.8,SerpAPI,"81/12, Patnipura Chauraha, above National Typing institute, Patnipura Square, Patni Pura, Indore, Madhya Pradesh 452011, India",education,,,,,
MB Khalsa College,http://www.mbkhalsacollege.com/,Yes,,78,Low,3.9,SerpAPI,"Gangwall Stand Marg, Raj Mohalla, Indore, Madhya Pradesh 452002, India",education,,,,,
Golden International School,http://www.gisindore.in/,Yes,+91 95166 66039,0,Low,0.0,SerpAPI,"CAT Rd, Industrial Area, Rau, Indore, Madhya Pradesh 453331, India",education,,,,,
Sanskrit Degree College,,No,,86,Medium,4.3,SerpAPI,"PVF4+2VV, Rambag Square, Ram Bagh, Indore, Madhya Pradesh 452007, India",education,,,,,
"Kothari Institute, Rajwada Main Branch",,No,,80,Medium,4.0,SerpAPI,"147/2, Maharaja Tukoji Rao Holker Cloth Market, Indore, Madhya Pradesh 452007, India",education,,,,,
Shri Jain Shwetamber Professional Academy,https://www.sjspa.co.in/,Yes,+91 94259 25340,90,High,4.5,SerpAPI,"Airport-Bijasan, Infront of Malaygiri, Road, near Hinkargiri, Pithampur, Madhya Pradesh 452005, India",education,,,,,
Shah Coaching Classes,,No,+91 93037 82122,100,High,5.0,SerpAPI,"Shah coaching classes, Jail Rd, near Novelty Market, Lodhi Mohalla, Jail Road, Indore, Madhya Pradesh 452001, India",education,,,,,
IPVM ORCHIDS The International School - State School in Rajendra Nagar,https://www.orchidsinternationalschool.com/indore-branches/rajendra-nagar,Yes,+91 99994 31999,86,Medium,4.3,SerpAPI,"CAT Rd, Rajendra Nagar, Indore, Madhya Pradesh 452012, India",education,,,,,
The online tutorials,,No,,100,High,5.0,SerpAPI,"38, Peergali, Rajwada, Indore, Madhya Pradesh 452007, India",education,,,,,
Diksha Education and Career Guidance,,No,+91 87707 41341,100,High,5.0,SerpAPI,"3rd floor, pukhraj corporate building, 303, Navlakha, Indore, Madhya Pradesh 452001, India",education,,,,,
Amity Online - Study Abroad | Indore,https://studyabroad.amityonline.com/,Yes,+91 89294 00479,0,Low,0.0,SerpAPI,"Mahatma Gandhi Rd, near Rajwada Palace, Risi Nagar, Tilak Path, Indore, Madhya Pradesh 452001, India",education,,,,,
Shri Vaishnav Institute Of Technology & Science,,No,,78,Low,3.9,SerpAPI,"84, Hukumchand Marg, Old Rajmohalla, Itwaria Bazaar, Indore, Madhya Pradesh 452002, India",education,,,,,
G.D. Goenka Public School,http://www.gdgoenkaindore.com/,Yes,+91 77710 20000,0,Low,0.0,SerpAPI,"Khasra No. 304, Garden City, P.H. No. 73, By Pass Road, DLF Township, Indore, Madhya Pradesh 453771, India",education,,,,,
Pramana Institute,,No,+91 91091 04431,100,High,5.0,SerpAPI,"Victory Chamber, 2nd floor, 4-A, AB Rd, Ratlam Kothi, Indore, Madhya Pradesh 452001, India",education,,,,,
Mata Jijabai Govt. PG Girls College,http://www.mphighereducation.nic.in/2303,Yes,+91 731 236 6587,80,Medium,4.0,SerpAPI,"Lal Bagh Rd Moti Tabela, Roop Ram Nagar, Indore, Madhya Pradesh 452007, India",education,,,,,
Planet Education Indore,https://www.planeteducation.info/education-news/indore-new-planet-education-branch-launched,Yes,+91 70439 91743,82,Medium,4.1,SerpAPI,"102. Prosperity Tower, RS Bhandari Marg, opp. Bansi Trade Centre, Diamond Colony, New Palasia, Indore, Madhya Pradesh 452003, India",education,,,,,
"MP Welfare Association of the Blind, Indore",https://mpwab.org/,Yes,+91 731 241 0296,0,Low,0.0,SerpAPI,"Wire Square, 33 B/D, Kila Maidan Rd, near Kalka Mata Mandir, Laxmi Bai Nagar, Indore, Madhya Pradesh 452005, India",education,,,,,
Zenith education,,No,,0,Low,0.0,SerpAPI,"43/1, Snehlataganj Rd, Snehlataganj, Indore, Madhya Pradesh 452003, India",education,,,,,
BEO OFFICE,,No,,60,Low,3.0,SerpAPI,"PVC5+GPG, Nagar Nigam, Indore, Madhya Pradesh 452007, India",education,,,,,
Ideal International,https://idealinternationalindore.com/,Yes,+91 731 261 7600,0,Low,0.0,SerpAPI,"Nagar, Nigam Market, 116, Maharani Road, Nagar Nigam, Indore, Madhya Pradesh 452001, India",education,,,,,
Delhi Public School Indore,https://www.dpsindore.org/,Yes,+91 731 244 4401,0,Low,0.0,SerpAPI,"Indore Bypass Road, Nipaniya Rd, near Water Lilly, Indore, Madhya Pradesh 452010, India",education,,,,,
Govt. College Rau,https://www.govtcollegerau.org/,Yes,+91 731 285 7070,84,Medium,4.2,SerpAPI,"13, Nakhrali Dhani Bypass, 14, Bhaiuu Road, Industrial Area, Rau, Indore, Madhya Pradesh 453331, India",education,,,,,
Tiwari Tutorials,,No,+91 98270 86348,84,Medium,4.2,SerpAPI,"Tiwari Tutorials- 7/3 Rambagh, Behind petrol pump, near Nagar Nigam Office, Indore, Madhya Pradesh 452007, India",education,,,,,
Railway station indore,,No,+91 11 2338 4416,78,Low,3.9,SerpAPI,"PV89+R8F, Medanta Super Specialty Hospital | Best Hospital in Indore, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001, India",education,,,,,
Medi-Caps International School,http://www.medicapsschool.ac.in/,Yes,+91 96446 00054,0,Low,0.0,SerpAPI,"AB Road, near Medi-Caps University, Rau, Indore, Madhya Pradesh 453331, India",education,,,,,
Vsmart Academy Indore,https://smartlearningdestination.com/academy/vsmart-academy/,Yes,+91 78697 48489,100,High,5.0,SerpAPI,"113 1st Floor, Shreevardhan Complex, RNT Marg, near Lemon Tree Hotel, South Tukoganj, Indore, Madhya Pradesh 452001, India",education,,,,,
Tagore Vidhya Pith H.S. School,http://tagorevidhyapith.com/,Yes,+91 731 259 0798,0,Low,0.0,SerpAPI,"249-B, Kanadia Main Rd, near Bengali Squre, Kailashpuri, Indore, Madhya Pradesh 452016, India",education,,,,,
"Shri Gujarati Samaj, Indore",http://www.shrigujaratisamajindore.org/guest-house-2/,Yes,+91 731 270 3447,92,High,4.6,SerpAPI,"01, Nasiya Rd, Luniyapura, Chhawni, Indore, Madhya Pradesh 452001, India",education,,,,,
Book My Tutor™ - Home Tutors & Online Classes,https://www.bookmytutor.com/,Yes,+91 76107 02222,100,High,5.0,SerpAPI,"Rajwada, Indore, Madhya Pradesh 452007, India",education,,,,,
Hindi tutor - Vasumati Chaturvedi,http://www.linkedin.com/in/vasumati-chaturvedi-784b0954,Yes,,100,High,5.0,SerpAPI,"flat no 301, Prabhat Residency, Indore Rd, Block-A, Tilak Path, Indore, Madhya Pradesh 452007, India",education,,,,,
Indore,http://www.indore.nic.in/,Yes,,0,Low,0.0,SerpAPI,"Madhya Pradesh, India",education,,,,,
Shri Ram Centennial School,http://www.shriramschool.org/,Yes,+91 97529 22222,0,Low,0.0,SerpAPI,"Sanwer Rd, Indore, Gram Baroli, Madhya Pradesh 453111, India",education,,,,,
Science Home,,No,+91 91114 24922,92,High,4.6,SerpAPI,"Shop No.221,, 2nd Floor, Mahatma Gandhi Rd, Khajuri Bazar, Indore, Madhya Pradesh 452002, India",education,,,,,
Rock Realty,http://www.rockrealty.co.in/,Yes,+91 96007 99174,70,Medium,4.8,SerpAPI,"2nd Floor, No.3, Puliakulam Rd, opp. Carmel Garden School, Ramalinga Chettiyar Layout, Ramalinga Layout, Coimbatore, Tamil Nadu 641045, India",real estate companies,"Mobile App Development, SSL / Security, AI Chatbot / CRM, Cloud Services, E-Commerce Development",45.0,,,
Lands and Lands,http://www.landsandlands.com/,Yes,+91 90251 34134,78,Medium,4.8,SerpAPI,"46, Kerala Club Rd, ATT Colony, Gopalapuram, Coimbatore, Tamil Nadu 641018, India",real estate companies,"Website Revamp, Mobile App Development, SSL / Security, AI Chatbot / CRM, CRM / HRM Software, E-Commerce Development",59.0,,,
Hanu Reddy Realty India Private Limited,http://www.hanureddyrealty.com/branch/coimbatore/,Yes,+91 422 404 9999,84,High,4.6,SerpAPI,"Door No.17, Ground Floor, 50 Feet Rd, Krishnaswamy Nagar, Sowripalayam Pirivu, Ramanathapuram, Coimbatore, Tamil Nadu 641045, India",real estate companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development",75.0,,,
Annai Realty,http://www.annairealty.com/,Yes,+91 95666 08559,54,Low,4.2,SerpAPI,"Srivari Srimath, 1045, 3rd Floor, Avinashi Rd, Race Course, Coimbatore, Tamil Nadu 641018, India",real estate companies,"Mobile App Development, CRM / HRM Software, Analytics Integration",25.0,,,
Sri Balaji Real Estate,http://sbrrealestate.com/,Yes,+91 98432 99226,70,Medium,4.8,SerpAPI,"98/366, Alagesan Rd, Nesavaalar Colony, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, E-Commerce Development",44.0,,,
Metro City Developers,http://metrocitydevelopers.in/,Yes,+91 422 470 7770,90,High,4.8,SerpAPI,"1st Floor, Manapuram Chits, D.NO.75, NGN St, Siddhapudur, New Siddhapudur, Gandhipuram, Tamil Nadu 641044, India",real estate companies,"Website Revamp, Mobile App Development, Digital Marketing, SSL / Security, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development",85.0,,,
THRONE DEVELOPER LLP,,No,+91 90471 34000,89,High,4.7,SerpAPI,"RTO Office Rd, WOMENS, Coimbatore, Tamil Nadu 641018, India",real estate companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
Majestan Realty – Real Estate Agents in Coimbatore,https://www.majestanrealty.com/,Yes,+91 90929 65556,62,Low,4.8,SerpAPI,"47/1 Aandal Street, Lakshmipuram Main Rd, Hope College, Coimbatore, Tamil Nadu 641004, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development",28.0,,,
JRD Realtorss,https://jrdrealtorss.com/,Yes,+91 75999 09999,67,Medium,4.5,SerpAPI,"P- Block, 1, Shanti Ashram Rd, Q - Block, Kovaipudur, Tamil Nadu 641042, India",real estate companies,"Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, E-Commerce Development",44.0,,,
Sreevatsa Real Estates Private Limited,http://www.sreevatsa.com/,Yes,+91 422 243 2184,74,High,4.2,SerpAPI,"324, Mettupalayam Rd, Tatabad, Coimbatore, Tamil Nadu 641043, India",real estate companies,"Mobile App Development, Digital Marketing, SSL / Security, AI Chatbot / CRM, CRM / HRM Software, Analytics Integration, E-Commerce Development",63.0,,,
Techasoft Private Limited,https://www.techasoft.com/,Yes,+91 88847 39988,50,Low,4.6,SerpAPI,"3rd Floor, 435, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",it companies,E-Commerce Development,8.0,,,
IBeON INFOTECH PVT LTD - BEST IT SUPPORT COMPANY IN BANGALORE,http://www.ibeoninfotech.com/,Yes,+91 80 4853 5499,53,Low,4.9,SerpAPI,"8/1, 1st floor, 1st A cross, 24th Main Rd, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",it companies,E-Commerce Development,8.0,,,
Zinavo Private Limited,https://www.zinavo.com/,Yes,+91 77602 45945,47,Low,4.7,SerpAPI,"2nd Floor,, No. 31, Main Chairman Layout, 9h B, HRBR Layout 1st Block, Balaji Layout, Subbaiahnapalya, Banaswadi, Bengaluru, Karnataka 560043, India",it companies,None Identified,0.0,,,
Infosys Limited,https://www.infosys.com/,Yes,+91 80 2559 2088,58,Low,4.4,SerpAPI,"N 403. 405 North Block, 4th Floor, Manipal Centre, Near-Syndicate Bank, Mahatma Gandhi Road, Dickenson Road, Bengaluru, Karnataka 560042, India",it companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
ERPLax Bangalore,https://erplax.com/,Yes,+91 97399 66977,58,Low,4.9,SerpAPI,"4235, 19th Main Rd, A Block, Milk Colony, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560021, India",it companies,"Mobile App Development, Analytics Integration",18.0,,,
